"Measure","Income Bracket","Time","Time_type","Ethnicity of household reference person","Ethnicity_type","Value","Denominator"
"Average weekly household income","Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2016/17-2018/19","Three-year average","White Other","ONS 5+2","3","2732"
"Average weekly household income","Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2016/17-2018/19","Three-year average","White Other","ONS 5+2","7","2732"
"Average weekly household income","Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2016/17-2018/19","Three-year average","White Other","ONS 5+2","7","2732"
"Average weekly household income","Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2016/17-2018/19","Three-year average","White Other","ONS 5+2","10","2732"
"Average weekly household income","Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2016/17-2018/19","Three-year average","White Other","ONS 5+2","8","2732"
"Average weekly household income","Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2016/17-2018/19","Three-year average","White Other","ONS 5+2","10","2732"
"Average weekly household income","Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2016/17-2018/19","Three-year average","White Other","ONS 5+2","7","2732"
"Average weekly household income","Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2016/17-2018/19","Three-year average","White Other","ONS 5+2","6","2732"
"Average weekly household income","Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2016/17-2018/19","Three-year average","White Other","ONS 5+2","6","2732"
"Average weekly household income","Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2016/17-2018/19","Three-year average","White Other","ONS 5+2","34","2732"
"Average weekly household income","Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2016/17-2018/19","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","2","515"
"Average weekly household income","Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2016/17-2018/19","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","4","515"
"Average weekly household income","Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2016/17-2018/19","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","9","515"
"Average weekly household income","Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2016/17-2018/19","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","12","515"
"Average weekly household income","Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2016/17-2018/19","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","12","515"
"Average weekly household income","Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2016/17-2018/19","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","8","515"
"Average weekly household income","Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2016/17-2018/19","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","7","515"
"Average weekly household income","Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2016/17-2018/19","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","7","515"
"Average weekly household income","Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2016/17-2018/19","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","4","515"
"Average weekly household income","Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2016/17-2018/19","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","5","515"
"Average weekly household income","Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2016/17-2018/19","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","30","515"
"Average weekly household income","Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2016/17-2018/19","Three-year average","Asian/ Asian British","ONS 5+2","2","2453"
"Average weekly household income","Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2016/17-2018/19","Three-year average","Asian/ Asian British","ONS 5+2","4","2453"
"Average weekly household income","Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2016/17-2018/19","Three-year average","Asian/ Asian British","ONS 5+2","8","2453"
"Average weekly household income","Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2016/17-2018/19","Three-year average","Asian/ Asian British","ONS 5+2","7","2453"
"Average weekly household income","Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2016/17-2018/19","Three-year average","Asian/ Asian British","ONS 5+2","9","2453"
"Average weekly household income","Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2016/17-2018/19","Three-year average","Asian/ Asian British","ONS 5+2","9","2453"
"Average weekly household income","Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2016/17-2018/19","Three-year average","Asian/ Asian British","ONS 5+2","9","2453"
"Average weekly household income","Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2016/17-2018/19","Three-year average","Asian/ Asian British","ONS 5+2","8","2453"
"Average weekly household income","Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2016/17-2018/19","Three-year average","Asian/ Asian British","ONS 5+2","5","2453"
"Average weekly household income","Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2016/17-2018/19","Three-year average","Asian/ Asian British","ONS 5+2","5","2453"
"Average weekly household income","Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2016/17-2018/19","Three-year average","Asian/ Asian British","ONS 5+2","34","2453"
"Average weekly household income","Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2016/17-2018/19","Three-year average","Indian","ONS 5+2","2","992"
"Average weekly household income","Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2016/17-2018/19","Three-year average","Indian","ONS 5+2","3","992"
"Average weekly household income","Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2016/17-2018/19","Three-year average","Indian","ONS 5+2","7","992"
"Average weekly household income","Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2016/17-2018/19","Three-year average","Indian","ONS 5+2","6","992"
"Average weekly household income","Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2016/17-2018/19","Three-year average","Indian","ONS 5+2","6","992"
"Average weekly household income","Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2016/17-2018/19","Three-year average","Indian","ONS 5+2","6","992"
"Average weekly household income","Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2016/17-2018/19","Three-year average","Indian","ONS 5+2","6","992"
"Average weekly household income","Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2016/17-2018/19","Three-year average","Indian","ONS 5+2","6","992"
