"Measure","Time","Ethnicity of household reference person","Ethnicity_type","Geography","Value","Denominator"
"Council Tax Reduction by ethnic group of head","2016/17-2018/19","White","ONS 5+2","K02000001","12","61,334"
"Disability Living Allowance (care component) by ethnic group of head","2016/17-2018/19","White","ONS 5+2","K02000001","8","61,334"
"Disability Living Allowance (mobility component) by ethnic group of head","2016/17-2018/19","White","ONS 5+2","K02000001","6","61,334"
"Employment and Support Allowance by ethnic group of head","2016/17-2018/19","White","ONS 5+2","K02000001","4","61,334"
"Housing Benefit by ethnic group of head","2016/17-2018/19","White","ONS 5+2","K02000001","11","61,334"
"Incapacity Benefit by ethnic group of head","2016/17-2018/19","White","ONS 5+2","K02000001","~","61,334"
"Income Support by ethnic group of head","2016/17-2018/19","White","ONS 5+2","K02000001","2","61,334"
"Industrial Injuries Disablement Benefit by ethnic group of head","2016/17-2018/19","White","ONS 5+2","K02000001","1","61,334"
"Jobseeker's Allowance by ethnic group of head","2016/17-2018/19","White","ONS 5+2","K02000001","1","61,334"
"On any income-related benefit by ethnic group of head","2016/17-2018/19","White","ONS 5+2","K02000001","16","61,334"
"On any non-income-related benefit by ethnic group of head","2016/17-2018/19","White","ONS 5+2","K02000001","51","61,334"
"Pension Credit by ethnic group of head","2016/17-2018/19","White","ONS 5+2","K02000001","4","61,334"
"Personal Independence Payment (daily living component) by ethnic group of head","2016/17-2018/19","White","ONS 5+2","K02000001","0","61,334"
"Personal Independence Payment (mobility component) by ethnic group of head","2016/17-2018/19","White","ONS 5+2","K02000001","0","61,334"
"Severe Disablement Allowance by ethnic group of head","2016/17-2018/19","White","ONS 5+2","K02000001","~","61,334"
"State Pension by ethnic group of head","2016/17-2018/19","White","ONS 5+2","K02000001","27","61,334"
"Widow's Benefits by ethnic group of head","2016/17-2018/19","White","ONS 5+2","K02000001","~","61,334"
"Working Tax Credit by ethnic group of head","2016/17-2018/19","White","ONS 5+2","K02000001","4","61,334"
"All in receipt of benefit by ethnic group of head","2016/17-2018/19","White British","ONS 5+2","K02000001","55","58,015"
"All in receipt of state support by ethnic group of head","2016/17-2018/19","White British","ONS 5+2","K02000001","56","58,015"
"All in receipt of Tax Credits by ethnic group of head","2016/17-2018/19","White British","ONS 5+2","K02000001","8","58,015"
"Armed Forces Compensation Scheme by ethnic group of head","2016/17-2018/19","White British","ONS 5+2","K02000001","~","58,015"
"Attendance Allowance by ethnic group of head","2016/17-2018/19","White British","ONS 5+2","K02000001","3","58,015"
"Carer's Allowance by ethnic group of head","2016/17-2018/19","White British","ONS 5+2","K02000001","2","58,015"
"Child Benefit by ethnic group of head","2016/17-2018/19","White British","ONS 5+2","K02000001","17","58,015"
"Child Tax Credit by ethnic group of head","2016/17-2018/19","White British","ONS 5+2","K02000001","7","58,015"
"Council Tax Reduction by ethnic group of head","2016/17-2018/19","White British","ONS 5+2","K02000001","12","58,015"
"Disability Living Allowance (care component) by ethnic group of head","2016/17-2018/19","White British","ONS 5+2","K02000001","8","58,015"
"Disability Living Allowance (mobility component) by ethnic group of head","2016/17-2018/19","White British","ONS 5+2","K02000001","7","58,015"
"Employment and Support Allowance by ethnic group of head","2016/17-2018/19","White British","ONS 5+2","K02000001","5","58,015"
"Housing Benefit by ethnic group of head","2016/17-2018/19","White British","ONS 5+2","K02000001","11","58,015"
"Incapacity Benefit by ethnic group of head","2016/17-2018/19","White British","ONS 5+2","K02000001","~","58,015"
"Income Support by ethnic group of head","2016/17-2018/19","White British","ONS 5+2","K02000001","2","58,015"
"Industrial Injuries Disablement Benefit by ethnic group of head","2016/17-2018/19","White British","ONS 5+2","K02000001","1","58,015"
"Jobseeker's Allowance by ethnic group of head","2016/17-2018/19","White British","ONS 5+2","K02000001","1","58,015"
"On any income-related benefit by ethnic group of head","2016/17-2018/19","White British","ONS 5+2","K02000001","17","58,015"
"On any non-income-related benefit by ethnic group of head","2016/17-2018/19","White British","ONS 5+2","K02000001","53","58,015"
"Pension Credit by ethnic group of head","2016/17-2018/19","White British","ONS 5+2","K02000001","4","58,015"
"Personal Independence Payment (daily living component) by ethnic group of head","2016/17-2018/19","White British","ONS 5+2","K02000001","0","58,015"
"Personal Independence Payment (mobility component) by ethnic group of head","2016/17-2018/19","White British","ONS 5+2","K02000001","0","58,015"
"Severe Disablement Allowance by ethnic group of head","2016/17-2018/19","White British","ONS 5+2","K02000001","~","58,015"
"State Pension by ethnic group of head","2016/17-2018/19","White British","ONS 5+2","K02000001","28","58,015"
"Widow's Benefits by ethnic group of head","2016/17-2018/19","White British","ONS 5+2","K02000001","~","58,015"
"Working Tax Credit by ethnic group of head","2016/17-2018/19","White British","ONS 5+2","K02000001","4","58,015"
"All in receipt of benefit by ethnic group of head","2016/17-2018/19","White non-British","ONS 5+2","K02000001","36","3,319"
"All in receipt of state support by ethnic group of head","2016/17-2018/19","White non-British","ONS 5+2","K02000001","36","3,319"
"All in receipt of Tax Credits by ethnic group of head","2016/17-2018/19","White non-British","ONS 5+2","K02000001","9","3,319"
"Armed Forces Compensation Scheme by ethnic group of head","2016/17-2018/19","White non-British","ONS 5+2","K02000001","~","3,319"
"Attendance Allowance by ethnic group of head","2016/17-2018/19","White non-British","ONS 5+2","K02000001","1","3,319"
"Carer's Allowance by ethnic group of head","2016/17-2018/19","White non-British","ONS 5+2","K02000001","1","3,319"
"Child Benefit by ethnic group of head","2016/17-2018/19","White non-British","ONS 5+2","K02000001","22","3,319"
"Child Tax Credit by ethnic group of head","2016/17-2018/19","White non-British","ONS 5+2","K02000001","9","3,319"
"Council Tax Reduction by ethnic group of head","2016/17-2018/19","White non-British","ONS 5+2","K02000001","7","3,319"
"Disability Living Allowance (care component) by ethnic group of head","2016/17-2018/19","White non-British","ONS 5+2","K02000001","3","3,319"
"Disability Living Allowance (mobility component) by ethnic group of head","2016/17-2018/19","White non-British","ONS 5+2","K02000001","2","3,319"
"Employment and Support Allowance by ethnic group of head","2016/17-2018/19","White non-British","ONS 5+2","K02000001","2","3,319"
"Housing Benefit by ethnic group of head","2016/17-2018/19","White non-British","ONS 5+2","K02000001","8","3,319"
"Incapacity Benefit by ethnic group of head","2016/17-2018/19","White non-British","ONS 5+2","K02000001","~","3,319"
"Income Support by ethnic group of head","2016/17-2018/19","White non-British","ONS 5+2","K02000001","1","3,319"
"Industrial Injuries Disablement Benefit by ethnic group of head","2016/17-2018/19","White non-British","ONS 5+2","K02000001","~","3,319"
"Jobseeker's Allowance by ethnic group of head","2016/17-2018/19","White non-British","ONS 5+2","K02000001","1","3,319"
"On any income-related benefit by ethnic group of head","2016/17-2018/19","White non-British","ONS 5+2","K02000001","11","3,319"
"On any non-income-related benefit by ethnic group of head","2016/17-2018/19","White non-British","ONS 5+2","K02000001","34","3,319"
"Pension Credit by ethnic group of head","2016/17-2018/19","White non-British","ONS 5+2","K02000001","2","3,319"
"Personal Independence Payment (daily living component) by ethnic group of head","2016/17-2018/19","White non-British","ONS 5+2","K02000001","0","3,319"
"Personal Independence Payment (mobility component) by ethnic group of head","2016/17-2018/19","White non-British","ONS 5+2","K02000001","0","3,319"
"Severe Disablement Allowance by ethnic group of head","2016/17-2018/19","White non-British","ONS 5+2","K02000001","~","3,319"
"State Pension by ethnic group of head","2016/17-2018/19","White non-British","ONS 5+2","K02000001","8","3,319"
"Widow's Benefits by ethnic group of head","2016/17-2018/19","White non-British","ONS 5+2","K02000001","~","3,319"
"Working Tax Credit by ethnic group of head","2016/17-2018/19","White non-British","ONS 5+2","K02000001","5","3,319"
"All in receipt of benefit by ethnic group of head","2017/18-2019/20","All","ONS 5+2","K02000001","51","67,694"
"All in receipt of state support by ethnic group of head","2017/18-2019/20","All","ONS 5+2","K02000001","52","67,694"
"All in receipt of Tax Credits by ethnic group of head","2017/18-2019/20","All","ONS 5+2","K02000001","7","67,694"
"Armed Forces Compensation Scheme by ethnic group of head","2017/18-2019/20","All","ONS 5+2","K02000001","~","67,694"
"Attendance Allowance by ethnic group of head","2017/18-2019/20","All","ONS 5+2","K02000001","2","67,694"
"Carer's Allowance by ethnic group of head","2017/18-2019/20","All","ONS 5+2","K02000001","2","67,694"
"Child Benefit by ethnic group of head","2017/18-2019/20","All","ONS 5+2","K02000001","18","67,694"
"Child Tax Credit by ethnic group of head","2017/18-2019/20","All","ONS 5+2","K02000001","7","67,694"
"Council Tax Reduction by ethnic group of head","2017/18-2019/20","All","ONS 5+2","K02000001","12","67,694"
"Disability Living Allowance (care component) by ethnic group of head","2017/18-2019/20","All","ONS 5+2","K02000001","7","67,694"
"Disability Living Allowance (mobility component) by ethnic group of head","2017/18-2019/20","All","ONS 5+2","K02000001","6","67,694"
"Employment and Support Allowance by ethnic group of head","2017/18-2019/20","All","ONS 5+2","K02000001","4","67,694"
"Housing Benefit by ethnic group of head","2017/18-2019/20","All","ONS 5+2","K02000001","10","67,694"
"Incapacity Benefit by ethnic group of head","2017/18-2019/20","All","ONS 5+2","K02000001","~","67,694"
"Income Support by ethnic group of head","2017/18-2019/20","All","ONS 5+2","K02000001","1","67,694"
"Industrial Injuries Disablement Benefit by ethnic group of head","2017/18-2019/20","All","ONS 5+2","K02000001","~","67,694"
"Jobseeker's Allowance by ethnic group of head","2017/18-2019/20","All","ONS 5+2","K02000001","1","67,694"
"On any income-related benefit by ethnic group of head","2017/18-2019/20","All","ONS 5+2","K02000001","16","67,694"
"On any non-income-related benefit by ethnic group of head","2017/18-2019/20","All","ONS 5+2","K02000001","49","67,694"
"Pension Credit by ethnic group of head","2017/18-2019/20","All","ONS 5+2","K02000001","3","67,694"
"Personal Independence Payment (daily living component) by ethnic group of head","2017/18-2019/20","All","ONS 5+2","K02000001","0","67,694"
"Personal Independence Payment (mobility component) by ethnic group of head","2017/18-2019/20","All","ONS 5+2","K02000001","0","67,694"
"Severe Disablement Allowance by ethnic group of head","2017/18-2019/20","All","ONS 5+2","K02000001","~","67,694"
"State Pension by ethnic group of head","2017/18-2019/20","All","ONS 5+2","K02000001","24","67,694"
"Widow's Benefits by ethnic group of head","2017/18-2019/20","All","ONS 5+2","K02000001","~","67,694"
"Working Tax Credit by ethnic group of head","2017/18-2019/20","All","ONS 5+2","K02000001","4","67,694"
"All in receipt of benefit by ethnic group of head","2017/18-2019/20","Any other Asian background","ONS 5+2","K02000001","43","489"
"All in receipt of state support by ethnic group of head","2017/18-2019/20","Any other Asian background","ONS 5+2","K02000001","43","489"
"All in receipt of Tax Credits by ethnic group of head","2017/18-2019/20","Any other Asian background","ONS 5+2","K02000001","12","489"
"Armed Forces Compensation Scheme by ethnic group of head","2017/18-2019/20","Any other Asian background","ONS 5+2","K02000001","~","489"
"Attendance Allowance by ethnic group of head","2017/18-2019/20","Any other Asian background","ONS 5+2","K02000001","1","489"
"Carer's Allowance by ethnic group of head","2017/18-2019/20","Any other Asian background","ONS 5+2","K02000001","1","489"
"Child Benefit by ethnic group of head","2017/18-2019/20","Any other Asian background","ONS 5+2","K02000001","27","489"
"Child Tax Credit by ethnic group of head","2017/18-2019/20","Any other Asian background","ONS 5+2","K02000001","12","489"
"Council Tax Reduction by ethnic group of head","2017/18-2019/20","Any other Asian background","ONS 5+2","K02000001","13","489"
"Disability Living Allowance (care component) by ethnic group of head","2017/18-2019/20","Any other Asian background","ONS 5+2","K02000001","2","489"
"Disability Living Allowance (mobility component) by ethnic group of head","2017/18-2019/20","Any other Asian background","ONS 5+2","K02000001","2","489"
"Employment and Support Allowance by ethnic group of head","2017/18-2019/20","Any other Asian background","ONS 5+2","K02000001","2","489"
"Housing Benefit by ethnic group of head","2017/18-2019/20","Any other Asian background","ONS 5+2","K02000001","12","489"
"Incapacity Benefit by ethnic group of head","2017/18-2019/20","Any other Asian background","ONS 5+2","K02000001","0","489"
"Income Support by ethnic group of head","2017/18-2019/20","Any other Asian background","ONS 5+2","K02000001","1","489"
"Industrial Injuries Disablement Benefit by ethnic group of head","2017/18-2019/20","Any other Asian background","ONS 5+2","K02000001","~","489"
"Jobseeker's Allowance by ethnic group of head","2017/18-2019/20","Any other Asian background","ONS 5+2","K02000001","1","489"
"On any income-related benefit by ethnic group of head","2017/18-2019/20","Any other Asian background","ONS 5+2","K02000001","17","489"
"On any non-income-related benefit by ethnic group of head","2017/18-2019/20","Any other Asian background","ONS 5+2","K02000001","37","489"
"Pension Credit by ethnic group of head","2017/18-2019/20","Any other Asian background","ONS 5+2","K02000001","2","489"
"Personal Independence Payment (daily living component) by ethnic group of head","2017/18-2019/20","Any other Asian background","ONS 5+2","K02000001","0","489"
"Personal Independence Payment (mobility component) by ethnic group of head","2017/18-2019/20","Any other Asian background","ONS 5+2","K02000001","0","489"
"Severe Disablement Allowance by ethnic group of head","2017/18-2019/20","Any other Asian background","ONS 5+2","K02000001","~","489"
"State Pension by ethnic group of head","2017/18-2019/20","Any other Asian background","ONS 5+2","K02000001","7","489"
