"Measure","NHS_trust","NHS_trust_code","Ethnicity","Ethnicity_type","Geography","Geography_type","NHS_trust_type","Value","Value_type","Numerator","Denominator"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Sussex Community NHS Foundation Trust","RDR","Other","White & Other","South","Grouped region","Community Provider Trust","79","%","93","118"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Sussex Community NHS Foundation Trust","RDR","All","All","South","Grouped region","Community Provider Trust","90","%","1447","1599"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Sussex Partnership NHS Foundation Trust","RX2","White","White & Other","South","Grouped region","Mental Health Trust","89","%","1180","1332"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Sussex Partnership NHS Foundation Trust","RX2","Other","White & Other","South","Grouped region","Mental Health Trust","85","%","115","136"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Sussex Partnership NHS Foundation Trust","RX2","All","All","South","Grouped region","Mental Health Trust","88","%","1295","1468"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Taunton and Somerset NHS Foundation Trust","RBA","White","White & Other","South","Grouped region","Acute Trust","88","%","946","1070"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Taunton and Somerset NHS Foundation Trust","RBA","Other","White & Other","South","Grouped region","Acute Trust","85","%","63","74"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Taunton and Somerset NHS Foundation Trust","RBA","All","All","South","Grouped region","Acute Trust","88","%","1009","1144"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","The Royal Bournemouth and Christchurch Hospitals NHS Foundation Trust","RDZ","White","White & Other","South","Grouped region","Acute Trust","88","%","1114","1260"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","The Royal Bournemouth and Christchurch Hospitals NHS Foundation Trust","RDZ","Other","White & Other","South","Grouped region","Acute Trust","76","%","106","140"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","The Royal Bournemouth and Christchurch Hospitals NHS Foundation Trust","RDZ","All","All","South","Grouped region","Acute Trust","87","%","1220","1400"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Torbay and South Devon NHS Foundation Trust","RA9","White","White & Other","South","Grouped region","Acute Trust","84","%","1082","1281"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Torbay and South Devon NHS Foundation Trust","RA9","Other","White & Other","South","Grouped region","Acute Trust","73","%","44","60"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Torbay and South Devon NHS Foundation Trust","RA9","All","All","South","Grouped region","Acute Trust","84","%","1126","1341"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","University Hospital Southampton NHS Foundation Trust","RHM","White","White & Other","South","Grouped region","Acute Trust","90","%","2616","2917"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","University Hospital Southampton NHS Foundation Trust","RHM","Other","White & Other","South","Grouped region","Acute Trust","78","%","352","451"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","University Hospital Southampton NHS Foundation Trust","RHM","All","All","South","Grouped region","Acute Trust","88","%","2968","3368"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","University Hospitals Bristol NHS Foundation Trust","RA7","White","White & Other","South","Grouped region","Acute Trust","91","%","2075","2291"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","University Hospitals Bristol NHS Foundation Trust","RA7","Other","White & Other","South","Grouped region","Acute Trust","69","%","185","267"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","University Hospitals Bristol NHS Foundation Trust","RA7","All","All","South","Grouped region","Acute Trust","88","%","2260","2558"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Western Sussex Hospitals NHS Foundation Trust","RYR","White","White & Other","South","Grouped region","Acute Trust","90","%","2434","2695"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Western Sussex Hospitals NHS Foundation Trust","RYR","Other","White & Other","South","Grouped region","Acute Trust","84","%","357","427"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Western Sussex Hospitals NHS Foundation Trust","RYR","All","All","South","Grouped region","Acute Trust","89","%","2791","3122"
