"Measure","Year","NHS_trust","NHS_trust_code","Ethnicity","Ethnicity_type","Geography","Geography_type","NHS_trust_type","Value","Value_type","Numerator","Denominator"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Dudley and Walsall Mental Health Partnership NHS Trust","RYK","White","White & Other","Midlands","Grouped region","Mental Health","90","%","314","348"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Dudley and Walsall Mental Health Partnership NHS Trust","RYK","All","White & Other","Midlands","Grouped region","Mental Health","88","%","372","425"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Dudley And Walsall Mental Health Partnership NHS Trust","RYK","Other","White & Other","Midlands","Grouped region","Mental Health Trust","75","%","44","59"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Dudley And Walsall Mental Health Partnership NHS Trust","RYK","White","White & Other","Midlands","Grouped region","Mental Health Trust","92","%","291","315"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Dudley And Walsall Mental Health Partnership NHS Trust","RYK","All","White & Other","Midlands","Grouped region","Mental Health Trust","90","%","335","374"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Western Sussex Hospitals NHS Foundation Trust","RYR","Other","White & Other","South","Grouped region","Acute","83","%","349","422"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Western Sussex Hospitals NHS Foundation Trust","RYR","White","White & Other","South","Grouped region","Acute","90","%","2296","2558"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Western Sussex Hospitals NHS Foundation Trust","RYR","All","White & Other","South","Grouped region","Acute","89","%","2645","2980"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Western Sussex Hospitals NHS Foundation Trust","RYR","Other","White & Other","South","Grouped region","Acute Trust","84","%","357","427"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Western Sussex Hospitals NHS Foundation Trust","RYR","White","White & Other","South","Grouped region","Acute Trust","90","%","2434","2695"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Western Sussex Hospitals NHS Foundation Trust","RYR","All","White & Other","South","Grouped region","Acute Trust","89","%","2791","3122"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Cambridgeshire Community Services NHS Trust","RYV","Other","White & Other","Midlands","Grouped region","Community Provider Trust","83","%","66","80"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Cambridgeshire Community Services NHS Trust","RYV","White","White & Other","Midlands","Grouped region","Community Provider Trust","94","%","834","886"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Cambridgeshire Community Services NHS Trust","RYV","All","White & Other","Midlands","Grouped region","Community Provider Trust","93","%","900","966"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Cambridgeshire Community Services NHS Trust","RYV","Other","White & Other","Midlands","Grouped region","Community Provider Trust","88","%","52","59"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Cambridgeshire Community Services NHS Trust","RYV","White","White & Other","Midlands","Grouped region","Community Provider Trust","92","%","671","726"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Cambridgeshire Community Services NHS Trust","RYV","All","White & Other","Midlands","Grouped region","Community Provider Trust","92","%","723","785"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Birmingham Community Healthcare NHS Foundation Trust","RYW","Other","White & Other","Midlands","Grouped region","Community Provider Trust","52","%","168","323"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Birmingham Community Healthcare NHS Foundation Trust","RYW","White","White & Other","Midlands","Grouped region","Community Provider Trust","83","%","755","915"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Birmingham Community Healthcare NHS Foundation Trust","RYW","All","White & Other","Midlands","Grouped region","Community Provider Trust","75","%","923","1238"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Birmingham Community Healthcare NHS Foundation Trust","RYW","Other","White & Other","Midlands","Grouped region","Community Provider Trust","64","%","168","261"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Birmingham Community Healthcare NHS Foundation Trust","RYW","White","White & Other","Midlands","Grouped region","Community Provider Trust","85","%","811","949"
