"Measure","Time","Time_Type","Ethnicity","Ethnicity_Type","Main_Mode","Value","Weighted_Sample_Trips","Unweighted_Sample_Trips","Weighted_Sample_Individuals","Unweighted_Sample_Individuals","Notes"
"Average trips per year by main mode of transport","2013-2017","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Bicycle","7","359","306","2498","2455","               "
"Average trips per year by main mode of transport","2013-2017","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Bus in London","118","5645","5422","2498","2455","               "
"Average trips per year by main mode of transport","2013-2017","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Car / van driver","189","9066","8226","2498","2455","               "
"Average trips per year by main mode of transport","2013-2017","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Car / van passenger","122","5826","5541","2498","2455","               "
"Average trips per year by main mode of transport","2013-2017","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","London Underground","22","1073","991","2498","2455","               "
"Average trips per year by main mode of transport","2013-2017","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Motorcycle ","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2013-2017","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Non-local bus","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2013-2017","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other local bus","47","2269","1996","2498","2455","               "
"Average trips per year by main mode of transport","2013-2017","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other private transport","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2013-2017","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other public transport","7","324","307","2498","2455","               "
"Average trips per year by main mode of transport","2013-2017","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Surface Rail","35","1679","1506","2498","2455","               "
"Average trips per year by main mode of transport","2013-2017","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Taxi / minicab","10","463","390","2498","2455","               "
"Average trips per year by main mode of transport","2013-2017","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Walk","215","10305","9289","2498","2455","               "
"Average trips per year by main mode of transport","2013-2017","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","All modes","883","20059","18063","1184","1140","               "
"Average trips per year by main mode of transport","2013-2017","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Bicycle","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2013-2017","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Bus in London","44","1001","920","1184","1140","               "
"Average trips per year by main mode of transport","2013-2017","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Car / van driver","180","4084","3525","1184","1140","               "
"Average trips per year by main mode of transport","2013-2017","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Car / van passenger","236","5370","5015","1184","1140","               "
"Average trips per year by main mode of transport","2013-2017","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","London Underground","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2013-2017","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Motorcycle ","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2013-2017","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Non-local bus","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2013-2017","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other local bus","53","1198","1094","1184","1140","               "
"Average trips per year by main mode of transport","2013-2017","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other private transport","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2013-2017","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other public transport","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2013-2017","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Surface Rail","27","622","523","1184","1140","               "
"Average trips per year by main mode of transport","2013-2017","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Taxi / minicab","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2013-2017","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Walk","292","6636","5965","1184","1140","               "
"Average trips per year by main mode of transport","2013-2017","5-year rolling average","Other ethnic group","ONS 2011 5+1","All modes","796","15959","13930","1045","959","               "
"Average trips per year by main mode of transport","2013-2017","5-year rolling average","Other ethnic group","ONS 2011 5+1","Bicycle","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2013-2017","5-year rolling average","Other ethnic group","ONS 2011 5+1","Bus in London","87","1751","1582","1045","959","               "
"Average trips per year by main mode of transport","2013-2017","5-year rolling average","Other ethnic group","ONS 2011 5+1","Car / van driver","219","4392","3966","1045","959","               "
"Average trips per year by main mode of transport","2013-2017","5-year rolling average","Other ethnic group","ONS 2011 5+1","Car / van passenger","131","2621","2459","1045","959","               "
"Average trips per year by main mode of transport","2013-2017","5-year rolling average","Other ethnic group","ONS 2011 5+1","London Underground","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2013-2017","5-year rolling average","Other ethnic group","ONS 2011 5+1","Motorcycle ","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2013-2017","5-year rolling average","Other ethnic group","ONS 2011 5+1","Non-local bus","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2013-2017","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other local bus","35","696","559","1045","959","               "
"Average trips per year by main mode of transport","2013-2017","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other private transport","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2013-2017","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other public transport","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2013-2017","5-year rolling average","Other ethnic group","ONS 2011 5+1","Surface Rail","28","560","435","1045","959","               "
"Average trips per year by main mode of transport","2013-2017","5-year rolling average","Other ethnic group","ONS 2011 5+1","Taxi / minicab","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2013-2017","5-year rolling average","Other ethnic group","ONS 2011 5+1","Walk","243","4876","4074","1045","959","               "
