"Measure","Time","Time_type","Academic_Year","Years After Graduation","Ethnicity","Ethnicity_type","Destination","Value","Value_type","Denominator"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2005/2006","10","Any Other Black Background","LEO","Sustained Employment Only","70","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2005/2006","10","Unknown","LEO","Sustained Employment Only","74","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2005/2006","10","White","LEO","Sustained Employment Only","78.1","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2014/2015","1","All","LEO","Sustained Employment With Or Without Further Study","81.1","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2014/2015","1","Bangladeshi","LEO","Sustained Employment With Or Without Further Study","79.8","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2014/2015","1","Indian","LEO","Sustained Employment With Or Without Further Study","79.5","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2014/2015","1","Pakistani","LEO","Sustained Employment With Or Without Further Study","74.4","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2014/2015","1","Black African","LEO","Sustained Employment With Or Without Further Study","78.1","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2014/2015","1","Black Caribbean","LEO","Sustained Employment With Or Without Further Study","83","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2014/2015","1","Chinese","LEO","Sustained Employment With Or Without Further Study","69","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2014/2015","1","Other (Including Mixed)","LEO","Sustained Employment With Or Without Further Study","75.4","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2014/2015","1","Any Other Asian Background","LEO","Sustained Employment With Or Without Further Study","74.6","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2014/2015","1","Any Other Black Background","LEO","Sustained Employment With Or Without Further Study","77.7","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2014/2015","1","Unknown","LEO","Sustained Employment With Or Without Further Study","77.8","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2014/2015","1","White","LEO","Sustained Employment With Or Without Further Study","82.4","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2012/2013","3","All","LEO","Sustained Employment With Or Without Further Study","83.1","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2012/2013","3","Bangladeshi","LEO","Sustained Employment With Or Without Further Study","81.3","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2012/2013","3","Indian","LEO","Sustained Employment With Or Without Further Study","84.1","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2012/2013","3","Pakistani","LEO","Sustained Employment With Or Without Further Study","79","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2012/2013","3","Black African","LEO","Sustained Employment With Or Without Further Study","78.4","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2012/2013","3","Black Caribbean","LEO","Sustained Employment With Or Without Further Study","83.5","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2012/2013","3","Chinese","LEO","Sustained Employment With Or Without Further Study","70.5","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2012/2013","3","Other (Including Mixed)","LEO","Sustained Employment With Or Without Further Study","77.4","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2012/2013","3","Any Other Asian Background","LEO","Sustained Employment With Or Without Further Study","77.4","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2012/2013","3","Any Other Black Background","LEO","Sustained Employment With Or Without Further Study","75.2","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2012/2013","3","Unknown","LEO","Sustained Employment With Or Without Further Study","77.9","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2012/2013","3","White","LEO","Sustained Employment With Or Without Further Study","84.3","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2010/2011","5","All","LEO","Sustained Employment With Or Without Further Study","83.2","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2010/2011","5","Bangladeshi","LEO","Sustained Employment With Or Without Further Study","81.7","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2010/2011","5","Indian","LEO","Sustained Employment With Or Without Further Study","84.7","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2010/2011","5","Pakistani","LEO","Sustained Employment With Or Without Further Study","78.8","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2010/2011","5","Black African","LEO","Sustained Employment With Or Without Further Study","76.2","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2010/2011","5","Black Caribbean","LEO","Sustained Employment With Or Without Further Study","83.7","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2010/2011","5","Chinese","LEO","Sustained Employment With Or Without Further Study","70.9","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2010/2011","5","Other (Including Mixed)","LEO","Sustained Employment With Or Without Further Study","77.7","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2010/2011","5","Any Other Asian Background","LEO","Sustained Employment With Or Without Further Study","75","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2010/2011","5","Any Other Black Background","LEO","Sustained Employment With Or Without Further Study","74.4","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2010/2011","5","Unknown","LEO","Sustained Employment With Or Without Further Study","77.8","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2010/2011","5","White","LEO","Sustained Employment With Or Without Further Study","84.5","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2005/2006","10","All","LEO","Sustained Employment With Or Without Further Study","81.8","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2005/2006","10","Bangladeshi","LEO","Sustained Employment With Or Without Further Study","80.6","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2005/2006","10","Indian","LEO","Sustained Employment With Or Without Further Study","82.6","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2005/2006","10","Pakistani","LEO","Sustained Employment With Or Without Further Study","76.4","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2005/2006","10","Black African","LEO","Sustained Employment With Or Without Further Study","73.4","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2005/2006","10","Black Caribbean","LEO","Sustained Employment With Or Without Further Study","82.1","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2005/2006","10","Chinese","LEO","Sustained Employment With Or Without Further Study","67.9","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2005/2006","10","Other (Including Mixed)","LEO","Sustained Employment With Or Without Further Study","75.7","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2005/2006","10","Any Other Asian Background","LEO","Sustained Employment With Or Without Further Study","74.9","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2005/2006","10","Any Other Black Background","LEO","Sustained Employment With Or Without Further Study","75.4","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2005/2006","10","Unknown","LEO","Sustained Employment With Or Without Further Study","78.7","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2005/2006","10","White","LEO","Sustained Employment With Or Without Further Study","82.8","%","NA"
