"Measure","Time","Time_Type","Ethnicity","Ethnicity_Type","Main_Mode_of_Transport","Value","Weighted_Sample_Stage_Distance","Unweighted_Sample_Stage_Distance","Weighted_Sample_Stages","Unweighted_Sample_Stages","Weighted_Sample_Individuals","Unweighted_Sample_Individuals","Notes"
"Average distance per year by mode of transport","2013-2017","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Motorcycle ","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2013-2017","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Non-local bus","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2013-2017","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other local bus","209","10013","8800","2404","2112","2498","2455","            "
"Average distance per year by mode of transport","2013-2017","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other private transport","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2013-2017","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other public transport","49","2355","2261","430","408","2498","2455","            "
"Average distance per year by mode of transport","2013-2017","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Surface Rail","588","28177","25652","1886","1706","2498","2455","            "
"Average distance per year by mode of transport","2013-2017","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Taxi / minicab","60","2852","2427","536","448","2498","2455","            "
"Average distance per year by mode of transport","2013-2017","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Walk","194","9276","8344","18811","17140","2498","2455","            "
"Average distance per year by mode of transport","2013-2017","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","All Modes","5128","116444","102257","23501","21107","1184","1140","            "
"Average distance per year by mode of transport","2013-2017","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Bicycle","36","815","716","338","307","1184","1140","            "
"Average distance per year by mode of transport","2013-2017","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Bus in London","157","3563","3053","1192","1073","1184","1140","            "
"Average distance per year by mode of transport","2013-2017","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Car / van driver","1654","37567","32262","4160","3591","1184","1140","            "
"Average distance per year by mode of transport","2013-2017","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Car / van passenger","1766","40105","36651","5519","5145","1184","1140","            "
"Average distance per year by mode of transport","2013-2017","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","London Underground","117","2658","2242","396","339","1184","1140","            "
"Average distance per year by mode of transport","2013-2017","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Motorcycle ","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2013-2017","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Non-local bus","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2013-2017","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other local bus","229","5208","4723","1274","1161","1184","1140","            "
"Average distance per year by mode of transport","2013-2017","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other private transport","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2013-2017","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other public transport","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2013-2017","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Surface Rail","575","13053","10440","689","579","1184","1140","            "
"Average distance per year by mode of transport","2013-2017","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Taxi / minicab","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2013-2017","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Walk","243","5510","4905","9314","8357","1184","1140","            "
"Average distance per year by mode of transport","2013-2017","5-year rolling average","Other ethnic group","ONS 2011 5+1","All Modes","4262","85444","75513","19083","16555","1045","959","            "
"Average distance per year by mode of transport","2013-2017","5-year rolling average","Other ethnic group","ONS 2011 5+1","Bicycle","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2013-2017","5-year rolling average","Other ethnic group","ONS 2011 5+1","Bus in London","338","6778","5908","1994","1783","1045","959","            "
"Average distance per year by mode of transport","2013-2017","5-year rolling average","Other ethnic group","ONS 2011 5+1","Car / van driver","1708","34242","30993","4465","3999","1045","959","            "
"Average distance per year by mode of transport","2013-2017","5-year rolling average","Other ethnic group","ONS 2011 5+1","Car / van passenger","1124","22529","20848","2684","2514","1045","959","            "
"Average distance per year by mode of transport","2013-2017","5-year rolling average","Other ethnic group","ONS 2011 5+1","London Underground","182","3646","2809","531","397","1045","959","            "
"Average distance per year by mode of transport","2013-2017","5-year rolling average","Other ethnic group","ONS 2011 5+1","Motorcycle ","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2013-2017","5-year rolling average","Other ethnic group","ONS 2011 5+1","Non-local bus","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2013-2017","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other local bus","157","3143","2544","719","580","1045","959","            "
"Average distance per year by mode of transport","2013-2017","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other private transport","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2013-2017","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other public transport","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2013-2017","5-year rolling average","Other ethnic group","ONS 2011 5+1","Surface Rail","369","7407","5959","608","476","1045","959","            "
"Average distance per year by mode of transport","2013-2017","5-year rolling average","Other ethnic group","ONS 2011 5+1","Taxi / minicab","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2013-2017","5-year rolling average","Other ethnic group","ONS 2011 5+1","Walk","212","4243","3518","7314","6181","1045","959","            "
"Average distance per year by mode of transport","2013-2017","5-year rolling average","White","ONS 2011 5+1","All Modes","6880","9083200","8584856","1414949","1314658","68842","68371","            "
"Average distance per year by mode of transport","2013-2017","5-year rolling average","White","ONS 2011 5+1","Bicycle","60","78839","70121","24343","21440","68842","68371","            "
"Average distance per year by mode of transport","2013-2017","5-year rolling average","White","ONS 2011 5+1","Bus in London","45","59348","52313","20071","17694","68842","68371","            "
"Average distance per year by mode of transport","2013-2017","5-year rolling average","White","ONS 2011 5+1","Car / van driver","3508","4631416","4387093","545861","515095","68842","68371","            "
"Average distance per year by mode of transport","2013-2017","5-year rolling average","White","ONS 2011 5+1","Car / van passenger","1925","2541704","2447912","284867","272610","68842","68371","            "
"Average distance per year by mode of transport","2013-2017","5-year rolling average","White","ONS 2011 5+1","London Underground","77","102248","84500","16598","13531","68842","68371","            "
"Average distance per year by mode of transport","2013-2017","5-year rolling average","White","ONS 2011 5+1","Motorcycle ","36","47654","41679","4469","3819","68842","68371","            "
